YYYYMMDD,Precipitation duration (hour),Daily precipitation (mm),Maximum hourly precipitation (mm)
19731223,1.5,1.7,1.0
19731224,1.2,0.9,0.4
19731226,0.2,0.9,0.2
19731227,6.0,1.7,0.5
19731228,1.7,0.5,0.3
19731230,0.1,0.2,0.2
19740104,2.1,1.2,0.6
19740105,1.0,0.4,0.3
19740106,0.7,0.8,0.6
19740107,5.7,10.5,3.5
19740108,1.1,1.7,1.5
19740109,1.5,1.6,1.2
19740110,5.2,6.1,1.8
19740111,0.6,1.9,1.8
19740112,0.9,0.5,0.4
19740113,0.8,1.4,0.6
19740114,1.5,2.6,2.1
19740115,3.3,3.1,1.3
19740116,3.3,5.9,2.3
19740117,5.5,6.2,2.7
19740118,4.2,2.9,0.9
19740123,2.7,2.5,1.1
19740124,2.2,1.7,0.7
19740127,1.0,1.7,1.2
19740128,4.5,4.1,1.0
19740129,6.8,3.1,0.6
19740131,1.0,0.7,0.5
19740205,1.0,1.0,0.8
19740206,2.1,2.8,1.3
19740207,0.5,1.5,0.7
19740208,5.2,5.3,1.3
19740209,7.2,9.4,2.0
19740210,1.2,0.6,0.3
19740211,6.8,3.6,0.9
19740212,0.4,0.8,0.7
19740215,1.0,0.4,0.2
19740221,1.1,0.6,0.2
19740222,4.1,3.7,1.2
19740301,2.4,1.1,0.6
19740302,13.0,11.5,3.5
19740304,0.3,0.4,0.3
19740305,7.7,4.2,1.0
19740311,2.5,2.7,1.6
19740312,5.1,3.0,0.9
19740314,5.4,5.9,1.8
19740315,2.8,6.6,4.4
19740316,2.3,2.2,1.0
19740317,2.4,2.9,1.3
19740318,4.0,13.0,5.9
19740320,8.2,6.3,1.9
19740324,1.1,2.5,1.6
19740412,0.1,0.4,0.4
19740423,1.3,1.6,0.5
19740425,0.2,0.3,0.3
19740428,0.7,0.9,0.8
19740429,7.7,6.2,1.3
19740430,1.6,0.5,0.2
19740507,1.9,1.6,0.9
19740510,4.3,3.4,1.2
19740511,0.4,0.8,0.5
19740513,4.2,10.3,4.2
19740514,4.0,6.6,2.4
19740521,1.5,3.5,2.1
19740522,1.0,4.9,4.7
19740523,5.0,12.9,4.6
19740524,0.6,2.8,2.5
19740528,1.1,0.8,0.5
19740529,0.6,0.5,0.5
19740531,2.2,6.1,4.7
19740601,0.3,0.2,0.2
19740603,7.6,7.7,1.4
19740606,1.4,2.5,1.0
19740608,11.8,27.8,6.9
19740609,1.6,8.1,3.3
19740610,0.7,0.6,0.3
19740611,2.0,2.6,1.3
19740617,2.1,27.3,24.4
19740626,2.8,4.7,2.3
19740627,1.7,2.5,1.6
19740629,0.8,2.5,1.3
19740630,1.5,1.2,0.5
19740701,1.1,1.6,0.8
19740702,0.1,1.2,1.2
19740703,3.5,8.4,5.3
19740704,8.8,20.8,6.2
19740705,7.6,5.5,0.9
19740706,0.8,1.8,0.8
19740710,1.6,0.8,0.6
19740713,8.8,14.7,4.5
19740714,0.8,0.9,0.3
19740715,0.1,0.1,0.1
19740716,1.8,2.6,1.2
19740717,2.7,3.8,1.6
19740719,0.5,0.2,0.2
19740720,3.1,1.5,0.6
19740723,4.4,10.3,4.6
19740724,1.3,1.5,0.7
19740725,0.4,1.1,0.7
19740726,3.2,4.6,1.1
19740730,0.3,0.2,0.1
19740802,0.6,0.6,0.5
19740804,4.1,30.2,21.1
19740805,1.5,1.9,1.0
19740808,0.1,0.2,0.2
19740809,1.6,5.5,3.9
19740810,3.1,12.2,7.6
19740811,5.4,12.1,3.7
19740812,6.7,11.5,2.7
19740813,1.2,0.5,0.3
19740818,0.6,0.4,0.3
19740827,0.9,2.7,0.8
19740831,1.7,1.6,0.7
19740901,0.8,3.3,2.1
19740902,4.2,11.2,4.2
19740903,0.3,1.2,1.1
19740904,4.0,2.5,0.8
19740905,19.3,29.2,3.1
19740906,2.8,3.3,1.6
19740907,0.9,0.7,0.4
19740908,0.1,0.1,0.1
19740909,5.2,9.3,3.6
19740912,2.3,1.9,0.9
19740913,1.7,0.7,0.3
19740915,0.6,18.2,9.0
19740921,2.5,4.1,2.0
19740922,1.8,5.7,2.8
19740923,4.4,2.1,0.7
19740924,5.1,5.4,1.2
19740925,4.4,8.7,3.0
19740926,2.1,8.0,4.2
19740927,7.4,13.3,2.9
19740928,0.7,0.5,0.4
19740929,0.9,4.6,3.1
19740930,1.7,7.6,4.5
19741001,0.2,0.8,0.6
19741002,0.5,3.1,2.8
19741004,10.6,33.2,6.2
19741005,1.5,4.0,1.4
19741006,2.3,3.1,1.1
19741007,2.1,2.6,1.0
19741008,1.7,1.5,0.5
19741009,0.2,0.7,0.4
19741011,0.6,0.4,0.2
19741012,0.4,1.5,0.4
19741013,0.5,2.5,1.2
19741014,0.1,0.1,0.1
19741018,6.2,7.9,1.7
19741019,5.8,7.4,2.5
19741020,0.1,0.2,0.2
19741021,3.9,7.2,3.0
19741022,11.0,22.4,3.8
19741023,4.2,2.8,0.7
19741024,0.1,0.1,0.1
19741025,0.6,1.4,0.9
19741026,3.7,3.9,0.9
19741027,3.4,5.6,1.0
19741028,7.2,22.0,3.5
19741029,2.3,4.1,0.7
19741030,0.9,1.3,0.6
19741103,7.7,8.1,2.4
19741104,0.1,0.6,0.2
19741108,1.8,2.3,0.7
19741109,3.8,2.9,0.8
19741110,0.9,1.1,1.1
19741111,4.1,4.2,1.6
19741112,2.0,6.9,2.6
19741114,5.6,8.3,4.8
19741115,7.8,9.1,1.7
19741116,9.9,12.8,2.2
19741117,0.3,0.5,0.4
19741119,2.3,5.8,2.9
19741120,0.7,0.5,0.2
19741121,1.9,2.7,0.9
19741122,12.1,13.9,2.4
19741123,2.0,2.6,1.2
19741124,3.2,2.7,1.2
19741125,6.2,6.3,1.3
19741126,0.8,0.5,0.3
19741127,2.0,3.0,1.0
19741128,7.6,14.3,3.2
19741129,1.3,4.1,1.2
19741130,5.0,7.8,4.5
19741202,0.2,0.2,0.2
19741203,7.5,4.9,1.4
19741204,1.8,4.3,2.1
19741205,3.4,7.4,2.4
19741206,2.9,1.1,0.4
19741207,5.1,2.8,0.8
19741208,3.3,0.6,0.2
19741209,1.7,1.1,0.6
19741210,3.8,5.3,2.5
19741211,8.8,21.4,3.9
19741212,7.2,8.8,1.6
19741213,0.3,0.5,0.5
19741214,1.8,2.2,1.1
19741216,6.5,11.1,2.0
19741217,0.2,0.4,0.3
19741218,2.6,6.6,2.9
19741219,0.8,0.9,0.3
19741222,0.1,0.1,0.1
19741224,5.7,7.2,1.6
19741225,9.2,17.9,4.5
19741226,3.4,8.6,5.1
19741227,3.2,7.0,2.6
19741228,0.5,0.4,0.4
19741229,0.3,1.0,0.4
19741230,0.1,0.4,0.4
19741231,1.8,1.5,1.0
19750101,1.6,1.8,1.0
19750102,0.8,0.6,0.5
19750105,1.9,2.1,0.9
19750106,4.0,6.5,1.8
19750107,7.4,10.6,2.1
19750108,0.6,1.4,1.4
19750112,0.3,0.4,0.2
19750115,2.9,2.0,1.1
19750116,7.1,3.3,0.9
19750117,3.3,11.8,7.0
19750118,1.2,1.5,0.8
19750120,4.2,2.9,1.3
19750121,1.7,3.1,1.4
19750122,9.8,11.2,1.8
19750123,1.1,2.0,1.3
19750125,4.3,4.8,1.3
19750127,10.3,6.8,1.6
19750128,6.4,8.9,2.2
19750130,0.6,0.7,0.3
19750131,3.1,5.2,2.1
19750211,1.2,0.6,0.4
19750212,0.7,0.5,0.4
19750213,4.8,6.9,2.2
19750214,1.1,1.9,0.9
19750217,2.7,2.5,1.2
19750218,4.8,4.4,1.6
19750219,1.3,1.0,0.9
19750302,3.4,3.5,2.2
19750305,2.7,1.6,0.4
19750306,0.7,0.6,0.6
19750307,7.8,5.2,1.2
19750308,0.6,0.4,0.3
19750309,4.0,4.3,1.3
19750310,3.9,1.1,0.4
19750311,0.5,0.5,0.4
19750312,0.3,0.2,0.1
19750313,1.7,1.7,1.2
19750314,2.6,1.0,0.4
19750315,14.5,8.6,0.9
19750316,0.2,0.2,0.1
19750317,1.8,2.8,0.9
19750319,1.1,0.5,0.3
19750320,2.9,2.2,0.8
19750322,7.1,5.6,1.5
19750324,1.9,4.6,1.4
19750325,2.1,1.7,0.5
19750326,7.1,8.9,2.6
19750327,10.3,8.5,1.3
19750328,3.9,5.3,1.3
19750329,1.3,2.9,1.4
19750330,0.2,0.4,0.2
19750331,0.4,0.3,0.2
19750402,5.2,3.9,1.0
19750403,1.2,0.9,0.4
19750404,12.8,6.0,1.0
19750405,0.8,2.0,0.4
19750406,0.1,0.1,0.1
19750407,4.1,6.1,2.6
19750408,2.4,3.1,1.1
19750409,2.0,4.2,1.8
19750412,2.1,1.2,0.4
19750414,9.0,8.6,2.2
19750415,4.3,3.6,1.2
19750416,1.2,0.6,0.3
19750417,5.8,5.0,1.3
19750418,1.5,1.0,0.5
19750419,3.6,4.0,1.0
19750425,0.7,0.2,0.2
19750427,1.6,0.5,0.3
19750428,0.6,1.0,0.7
19750429,2.7,5.8,3.1
19750430,4.6,3.6,0.9
19750502,8.2,8.6,1.7
19750503,0.7,0.5,0.4
19750504,0.9,3.1,2.9
19750507,3.3,17.1,9.2
19750510,0.7,3.5,2.2
19750513,2.5,1.4,0.4
19750601,0.5,3.6,2.8
19750602,2.5,4.9,2.0
19750603,4.4,6.5,1.7
19750604,1.6,1.7,0.6
19750615,9.1,22.7,6.4
19750617,1.1,2.3,1.7
19750621,0.5,0.6,0.5
19750622,1.2,5.0,3.8
19750623,3.4,32.7,12.0
19750624,0.3,1.0,0.6
19750628,0.3,0.4,0.4
19750629,2.1,4.1,2.3
19750704,1.1,0.5,0.4
19750708,1.3,1.8,1.0
19750709,1.1,0.6,0.3
19750711,0.4,1.3,1.3
19750717,1.9,0.8,0.5
19750718,1.0,4.8,4.3
19750720,2.0,2.6,1.6
19750723,0.3,0.1,0.1
19750724,2.4,10.8,8.4
19750725,1.2,1.5,0.5
19750811,0.4,1.2,1.2
19750815,0.7,4.8,4.6
19750816,4.8,8.4,2.9
19750819,0.5,0.4,0.2
19750820,0.9,0.5,0.4
19750821,4.2,20.9,16.1
19750823,0.2,0.3,0.3
19750824,1.6,5.1,3.9
19750905,0.7,0.5,0.4
19750909,0.4,0.8,0.8
19750910,2.4,4.0,1.5
19750911,2.2,10.4,5.4
19750912,5.2,10.4,2.9
19750913,4.4,7.6,2.6
19750914,5.0,6.0,2.8
19750915,0.1,0.1,0.1
19750917,1.2,1.2,0.7
19750921,0.1,0.2,0.2
19750923,0.8,0.9,0.7
19750924,0.8,0.4,0.2
19750925,9.1,7.4,1.3
19750926,0.8,1.3,1.0
19750927,4.5,11.3,2.8
19750929,0.1,0.1,0.1
19750930,1.6,2.3,1.7
19751002,0.7,1.4,0.9
19751003,0.2,0.1,0.1
19751004,2.7,1.2,0.6
19751005,1.1,0.8,0.4
19751006,0.4,0.7,0.6
19751009,0.9,1.2,0.6
19751010,2.2,3.1,1.9
19751011,0.2,0.2,0.2
19751013,1.5,2.8,1.9
19751016,1.0,0.5,0.3
19751021,2.5,0.6,0.3
19751101,1.0,2.3,1.9
19751102,0.1,0.1,0.1
19751103,2.1,1.9,0.8
19751106,3.2,6.0,2.4
19751107,2.3,4.4,1.8
19751115,5.2,4.4,2.0
19751116,13.6,23.1,4.4
19751117,2.3,1.2,0.3
19751118,1.9,2.0,1.2
19751119,6.8,8.0,1.8
19751120,0.5,0.5,0.3
19751121,0.6,0.9,0.4
19751122,0.9,2.1,2.0
19751125,5.0,1.8,0.5
19751126,9.2,7.8,1.6
19751127,7.9,12.2,2.6
19751128,5.7,17.4,6.4
19751129,0.8,1.0,0.4
19751201,2.4,1.9,0.8
19751202,6.6,7.8,1.7
19751205,5.8,1.9,0.5
19751206,0.9,0.2,0.1
19751207,1.7,0.6,0.2
19751208,0.6,0.5,0.2
19751210,0.1,0.1,0.1
19751212,2.0,1.4,0.7
19751213,1.7,2.2,1.2
19751217,0.8,0.3,0.2
19751220,0.4,0.7,0.5
19751224,3.3,4.1,1.6
19751225,6.6,4.6,1.2
19751231,6.3,7.9,1.8
19760101,5.4,13.2,4.6
19760102,8.0,10.3,2.3
19760103,0.5,0.5,0.2
19760104,1.3,0.6,0.5
19760105,22.3,18.6,2.9
19760106,4.1,3.1,1.0
19760109,8.5,3.0,0.7
19760110,5.8,7.2,2.0
19760111,2.3,6.1,3.8
19760112,0.2,0.1,0.1
19760113,3.4,2.1,0.7
19760114,2.5,5.2,1.6
19760115,3.4,2.7,1.5
19760117,0.2,0.2,0.2
19760118,1.2,1.4,1.2
19760119,3.4,2.3,1.5
19760120,5.0,4.6,1.4
19760121,0.3,0.2,0.2
19760122,0.8,0.7,0.4
19760123,5.3,6.5,1.3
19760124,1.6,3.5,1.3
19760125,1.6,2.7,1.1
19760126,4.6,4.3,1.4
19760127,1.2,1.2,1.1
19760210,4.3,3.9,1.9
19760211,1.8,5.7,1.8
19760212,6.7,4.3,0.7
19760213,7.7,3.1,0.9
19760224,0.1,0.1,0.1
19760229,2.7,5.4,3.1
19760312,1.7,1.0,0.5
19760313,6.8,6.0,1.6
19760315,1.0,0.7,0.5
19760317,2.5,1.5,0.9
19760318,1.5,1.1,1.0
19760324,1.0,1.3,1.3
19760325,7.7,9.0,1.8
19760326,6.3,8.5,2.8
19760327,1.5,1.0,0.6
19760329,0.9,1.3,0.9
19760402,0.4,0.2,0.2
19760403,3.0,0.8,0.5
19760407,3.9,4.6,1.5
19760414,3.7,2.2,0.8
19760423,0.5,2.0,1.5
19760502,0.2,0.2,0.1
19760503,5.8,3.3,0.7
19760512,4.0,3.2,0.9
19760513,0.1,0.7,0.7
19760518,2.6,4.8,2.5
19760519,1.2,0.9,0.5
19760520,4.6,3.0,1.1
19760521,0.5,2.6,2.6
19760525,1.5,0.8,0.3
19760526,1.2,1.6,0.6
19760527,0.7,1.0,0.7
19760529,1.4,1.6,1.1
19760531,0.5,1.3,1.0
19760601,3.0,12.1,5.0
19760602,2.3,1.9,1.0
19760619,8.9,10.6,2.4
19760620,16.0,28.2,7.1
19760713,3.2,1.9,0.5
19760714,1.1,4.3,2.5
19760717,1.2,2.6,2.5
19760720,0.6,0.6,0.6
19760721,6.6,25.9,5.4
19760722,0.6,2.5,2.5
19760724,3.3,4.6,2.3
19760726,0.2,0.6,0.5
19760731,1.1,2.0,0.8
19760802,2.1,1.9,0.9
19760803,2.1,1.7,0.8
19760811,0.9,1.5,1.5
19760818,0.6,4.0,2.6
19760828,1.5,5.0,4.3
19760829,0.4,0.5,0.5
19760830,0.6,0.2,0.2
19760901,3.6,2.5,0.7
19760902,7.1,14.9,3.0
19760903,0.2,0.2,0.1
19760904,3.2,11.8,5.7
19760909,3.7,7.7,1.7
19760910,5.8,6.5,1.5
19760911,5.6,4.3,1.6
19760913,2.4,2.5,1.1
19760914,2.6,1.9,1.0
19760918,5.8,6.2,2.3
19760923,0.8,0.5,0.3
19760924,3.1,0.6,0.2
19760925,0.1,0.1,0.1
19760926,2.8,1.7,1.1
19760927,0.3,0.4,0.2
19760928,1.5,1.1,0.5
19760929,0.2,0.7,0.6
19761001,1.6,6.4,4.3
19761002,0.4,0.4,0.3
19761004,2.1,2.9,2.0
19761006,7.7,9.6,2.1
19761007,0.7,0.5,0.4
19761013,0.1,0.1,0.1
19761014,2.4,2.1,1.0
19761015,4.4,3.8,2.2
19761019,4.6,8.9,2.8
19761020,0.7,0.6,0.3
19761021,1.2,1.5,1.1
19761022,2.4,1.8,0.9
19761024,5.6,4.3,2.1
19761025,0.5,0.4,0.3
19761101,2.2,0.9,0.4
19761102,1.1,0.5,0.3
19761103,1.5,0.6,0.2
19761106,0.4,0.2,0.2
19761107,4.7,2.1,0.7
19761108,1.2,0.6,0.3
19761109,0.3,0.3,0.3
19761110,3.7,4.0,1.4
19761111,2.6,1.9,1.1
19761112,1.3,0.8,0.4
19761113,6.1,2.4,0.4
19761116,6.9,1.9,0.4
19761117,3.2,0.8,0.3
19761120,2.0,0.6,0.2
19761121,0.1,0.1,0.1
19761122,1.8,3.7,1.3
19761123,0.7,0.9,0.4
19761124,5.5,5.0,1.3
19761125,0.4,0.5,0.2
19761126,0.9,0.4,0.2
19761127,0.4,0.3,0.3
19761128,4.0,4.8,2.0
19761129,3.3,5.2,2.7
19761130,10.0,20.6,7.8
19761201,0.8,0.4,0.3
19761202,4.3,4.0,1.4
19761203,2.1,3.2,1.6
19761204,4.6,6.2,2.5
19761205,1.0,1.3,0.7
19761206,6.2,10.1,5.2
19761207,1.6,3.0,2.4
19761208,1.0,1.4,0.9
19761210,0.4,0.3,0.2
19761211,2.1,1.5,0.6
19761212,0.1,0.2,0.2
19761213,0.3,0.3,0.2
19761214,0.9,1.9,1.5
19761217,5.9,6.7,1.9
19761218,2.2,2.9,1.7
19761219,3.0,6.7,4.2
19761220,1.2,0.9,0.8
19761221,4.9,5.5,1.2
19761225,0.4,0.9,0.6
19761226,0.5,0.4,0.3
19761227,0.7,0.9,0.4
19761228,4.5,8.1,2.6
19761231,2.3,1.9,0.7
19770101,2.2,2.5,0.9
19770103,1.4,1.1,0.2
19770104,0.7,1.0,0.6
19770105,0.6,0.2,0.2
19770106,8.4,6.7,1.2
19770108,0.6,0.9,0.5
19770109,7.0,5.0,0.8
19770110,4.9,3.0,1.2
19770111,2.2,2.0,0.9
19770113,0.3,0.1,0.1
19770114,3.9,2.7,0.7
19770115,3.2,3.9,1.0
19770116,0.9,2.1,0.8
19770119,4.8,1.7,0.6
19770121,1.4,1.5,1.0
19770123,8.6,6.1,1.8
19770125,10.0,8.7,1.6
19770126,0.5,0.4,0.3
19770127,11.0,19.8,4.0
19770128,0.3,0.1,0.1
19770203,5.7,6.8,1.8
19770205,4.3,6.6,3.8
19770206,2.9,1.8,1.3
19770207,8.6,7.5,1.9
19770208,0.8,0.9,0.7
19770210,5.1,11.1,2.8
19770213,1.4,2.5,1.5
19770217,5.3,5.9,1.9
19770218,5.2,11.9,4.3
19770219,0.7,1.2,1.2
19770220,5.6,6.0,1.7
19770221,3.0,7.0,2.9
19770222,1.8,9.6,5.5
19770223,2.2,1.6,0.7
19770224,6.0,6.5,2.0
19770225,10.6,8.6,1.8
19770226,0.1,0.1,0.1
19770227,0.1,0.1,0.1
19770302,0.5,0.2,0.1
19770303,0.8,2.2,2.2
19770307,0.6,1.8,1.8
19770308,0.4,0.8,0.8
19770311,6.9,5.3,2.0
19770313,1.0,4.3,2.5
19770314,1.8,3.9,1.9
19770315,0.5,0.7,0.3
19770317,3.2,5.1,2.5
19770318,0.8,0.4,0.1
19770319,0.5,1.2,1.1
19770321,4.3,2.0,0.5
19770322,0.9,0.7,0.5
19770323,0.4,0.3,0.3
19770326,0.9,0.4,0.2
19770327,17.5,11.5,1.3
19770328,0.8,0.5,0.3
19770331,0.6,0.4,0.4
19770401,11.8,23.4,5.7
19770403,4.2,3.3,1.0
19770404,2.3,1.7,0.6
19770406,1.8,1.0,0.5
19770407,0.8,1.5,1.2
19770408,0.3,0.3,0.2
19770409,0.2,0.3,0.2
19770411,0.9,1.4,0.6
19770412,2.8,1.2,0.4
19770413,7.5,8.8,3.6
19770414,2.6,4.1,2.2
19770415,1.1,3.9,2.3
19770421,1.4,1.1,0.5
19770422,0.2,0.2,0.2
19770423,1.4,2.3,1.2
19770424,0.8,0.6,0.4
19770426,2.7,4.5,2.8
19770429,1.9,1.7,0.5
19770430,1.1,0.4,0.2
19770501,6.7,7.8,2.2
19770503,1.5,1.8,1.0
19770504,0.3,0.3,0.3
19770505,1.6,3.6,2.1
19770506,0.4,1.8,1.0
19770507,0.6,1.5,1.2
19770508,0.4,0.8,0.6
19770509,3.7,1.9,0.6
19770510,0.9,1.1,0.5
19770511,1.1,2.1,0.9
19770512,7.0,16.6,3.6
19770513,4.2,15.3,3.9
19770514,0.1,0.6,0.6
19770520,1.5,3.0,1.8
19770521,2.2,1.7,1.0
19770602,0.1,0.1,0.1
19770603,2.3,3.1,1.3
19770604,0.3,0.3,0.2
19770605,0.6,1.2,0.5
19770606,6.6,5.2,2.0
19770607,0.8,0.8,0.4
19770609,1.5,2.2,1.2
19770610,1.0,5.8,5.4
19770611,0.4,0.6,0.4
19770614,1.2,3.9,2.1
19770615,1.7,2.5,1.4
19770616,0.5,0.7,0.5
19770619,2.0,1.7,0.6
19770625,1.4,2.5,1.5
19770626,1.9,4.5,2.9
19770629,2.1,3.5,1.3
19770701,0.8,0.4,0.2
19770702,0.1,0.1,0.1
19770714,0.4,0.4,0.4
19770718,7.2,11.3,2.5
19770720,0.5,0.8,0.6
19770722,0.1,0.1,0.1
19770724,6.1,6.2,2.5
19770725,4.5,15.4,5.3
19770726,4.5,16.2,2.8
19770727,2.0,8.0,5.6
19770728,1.4,1.7,1.0
19770729,2.7,2.0,1.5
19770805,0.6,0.2,0.2
19770806,3.8,4.0,1.3
19770807,1.6,5.5,3.4
19770808,0.7,2.2,1.9
19770809,0.3,0.1,0.1
19770811,0.6,1.0,0.8
19770812,10.0,8.5,2.1
19770813,1.2,4.5,3.8
19770814,0.9,0.5,0.4
19770815,0.5,0.3,0.2
19770817,1.9,2.9,1.1
19770818,6.5,15.0,4.4
19770820,2.7,5.1,2.4
19770821,2.7,5.1,1.8
19770822,15.8,28.4,6.5
19770823,7.0,7.5,2.3
19770824,1.2,0.5,0.3
19770825,2.2,4.2,3.3
19770827,1.2,1.1,0.7
19770828,0.1,0.1,0.1
19770903,0.6,0.4,0.2
19770906,0.9,0.8,0.6
19770909,1.9,2.5,1.2
19770910,2.2,1.6,0.7
19770916,0.9,0.3,0.2
19770917,1.8,4.3,2.5
19770928,1.4,0.6,0.3
19770930,3.0,2.7,1.3
19771001,6.0,21.0,11.0
19771002,6.0,10.2,3.5
19771003,1.4,1.1,0.3
19771004,0.6,1.0,0.6
19771005,1.8,3.1,2.0
19771006,3.1,5.8,2.7
19771007,0.4,0.3,0.2
19771008,4.2,3.1,0.9
19771010,0.4,3.1,3.0
19771022,2.5,2.1,1.3
19771023,0.6,0.4,0.3
19771025,0.1,0.1,0.1
19771031,3.7,5.6,1.7
19771102,13.4,24.4,3.3
19771103,1.1,3.4,2.8
19771104,1.4,1.8,0.9
19771105,0.1,0.1,0.1
19771106,3.7,5.5,2.6
19771107,0.4,0.3,0.3
19771108,3.5,3.8,1.1
19771109,7.4,12.4,2.7
19771111,0.8,0.9,0.6
19771112,5.1,8.4,1.5
19771113,4.6,6.5,1.7
19771114,10.5,10.6,1.8
19771115,5.0,11.8,4.8
19771116,4.0,6.5,1.9
19771117,1.1,1.3,0.3
19771118,5.2,6.5,1.4
19771119,2.1,1.1,0.4
19771120,16.4,10.1,1.1
19771121,18.0,24.7,3.0
19771122,2.4,4.2,1.7
19771123,5.9,10.3,4.0
19771124,6.6,10.8,3.3
19771125,0.8,1.2,0.6
19771129,0.2,0.1,0.1
19771206,2.9,1.0,0.4
19771207,7.2,4.8,0.8
19771208,0.6,0.4,0.3
19771211,5.8,6.6,1.7
19771212,0.4,0.2,0.1
19771213,0.6,0.3,0.3
19771214,1.4,0.5,0.2
19771218,2.2,1.9,1.1
19771222,2.0,1.4,0.9
19771223,1.5,0.8,0.3
19771225,2.2,1.8,0.8
19771226,2.7,2.2,1.0
19771227,6.1,11.6,4.0
19771228,5.0,4.9,1.0
19771229,4.9,2.2,0.5
19771230,4.7,7.2,2.3
19771231,1.4,1.6,1.1
19780102,1.5,0.8,0.4
19780103,6.8,14.5,5.0
19780104,2.5,3.3,0.8
19780105,0.2,0.1,0.1
19780109,5.9,2.1,0.8
19780110,4.7,5.0,1.8
19780111,14.1,6.1,1.2
19780112,11.0,12.3,2.5
19780114,1.2,0.8,0.4
19780116,0.8,0.4,0.4
19780117,0.5,0.4,0.4
19780119,1.1,1.1,0.9
19780122,3.1,0.5,0.2
19780123,3.9,5.6,2.1
19780124,5.3,6.6,1.3
19780125,2.4,1.8,0.6
19780126,1.3,1.4,1.0
19780128,0.6,0.4,0.2
19780129,0.4,0.6,0.2
19780130,0.2,0.3,0.2
19780131,2.6,3.1,1.3
19780201,6.2,7.8,2.0
19780202,0.1,0.2,0.2
19780205,3.5,5.3,1.9
19780206,0.7,0.7,0.7
19780207,2.1,0.6,0.4
19780212,0.3,0.3,0.2
19780214,1.3,1.8,0.8
19780221,3.0,0.3,0.1
19780222,0.5,0.9,0.8
19780223,2.2,1.0,0.3
19780225,1.5,0.8,0.5
19780226,0.3,0.2,0.2
19780227,4.5,2.8,0.8
19780302,1.3,0.8,0.4
19780303,12.0,4.3,0.8
19780305,0.2,0.1,0.1
19780308,4.1,2.9,0.8
19780312,4.4,6.0,1.4
19780313,1.9,2.1,1.1
19780314,5.2,4.1,1.1
19780315,3.4,4.1,1.4
19780316,4.0,5.9,2.0
19780317,1.0,2.9,2.5
19780318,0.5,0.7,0.3
19780319,6.8,10.2,2.7
19780320,1.5,3.1,2.6
19780321,13.2,12.1,1.5
19780322,4.1,2.6,1.0
19780323,3.0,4.2,1.8
19780324,0.4,0.1,0.1
19780325,4.2,7.8,2.4
19780326,0.2,0.1,0.1
19780327,7.4,3.7,0.8
19780328,2.9,2.4,1.2
19780330,3.2,1.0,0.3
19780410,2.2,2.0,0.8
19780411,11.8,17.3,2.5
19780412,2.6,2.4,0.8
19780414,0.6,0.9,0.6
19780416,0.3,0.4,0.2
19780419,0.4,1.6,1.5
19780420,1.6,1.1,0.5
19780426,0.8,1.4,1.0
19780427,0.6,2.2,1.0
19780428,1.2,3.6,3.3
19780430,5.5,5.3,1.3
19780501,0.8,1.4,1.3
19780503,0.8,1.2,0.7
19780505,0.9,1.9,1.6
19780506,3.8,4.4,1.8
19780507,0.3,0.5,0.3
19780512,3.6,6.1,1.8
19780514,0.2,0.2,0.2
19780515,2.0,4.6,2.9
19780519,0.8,2.6,2.4
19780525,0.3,0.9,0.3
19780602,0.9,1.0,0.9
19780606,0.5,0.3,0.3
19780607,1.6,1.2,0.4
19780608,3.3,4.6,1.5
19780610,0.2,0.3,0.2
19780612,0.6,0.3,0.2
19780616,3.5,1.9,0.7
19780621,0.8,2.2,1.2
19780622,4.6,16.1,8.1
19780623,4.5,15.4,4.1
19780624,0.9,0.9,0.3
19780625,3.1,5.6,2.3
19780626,5.8,8.5,1.7
19780628,1.6,1.4,0.7
19780629,7.4,8.3,1.6
19780630,0.8,2.5,1.9
19780702,15.1,17.0,2.2
19780703,11.0,6.3,0.8
19780704,1.4,4.1,1.5
19780705,3.3,15.5,8.1
19780706,2.0,5.5,1.1
19780707,4.3,6.1,1.2
19780708,5.9,6.3,1.8
19780709,0.2,0.2,0.2
19780719,0.2,0.8,0.7
19780720,1.9,2.1,0.7
19780802,0.6,0.9,0.7
19780803,0.4,2.5,2.2
19780804,2.1,1.3,0.6
19780805,0.6,1.8,1.8
19780806,1.1,1.4,0.8
19780807,0.5,0.6,0.4
19780808,0.7,0.5,0.2
19780809,1.2,3.5,1.6
19780812,0.2,0.2,0.1
19780813,1.4,2.0,1.2
19780814,0.4,0.2,0.1
19780816,0.5,2.7,2.4
19780827,1.3,2.2,1.8
19780829,3.3,10.5,7.7
19780830,3.2,7.5,4.7
19780831,4.3,3.5,1.2
19780901,1.3,1.3,0.5
19780902,0.5,1.0,0.3
19780903,0.3,1.3,1.2
19780904,0.4,0.4,0.3
19780907,0.3,0.5,0.3
19780909,0.6,2.8,2.5
19780911,1.3,3.4,1.6
19780912,0.4,1.1,1.1
19780914,3.3,5.9,2.7
19780919,0.4,0.7,0.3
19780922,1.0,0.1,0.1
19780925,4.0,3.7,1.5
19780926,1.8,2.7,1.7
19780927,3.5,3.5,1.1
19780928,6.9,8.8,2.6
19780929,6.9,11.2,2.8
19780930,9.2,22.3,3.6
19781001,1.0,0.8,0.5
19781004,0.1,0.2,0.2
19781005,0.2,0.3,0.3
19781015,4.0,0.4,0.1
