YYYYMMDD,Precipitation duration (hour),Daily precipitation (mm),Maximum hourly precipitation (mm)
19320905,0.6,0.3,0.2
19320906,0.3,1.3,1.2
19320907,0.5,0.8,0.7
19320909,0.5,0.7,0.6
19320910,0.2,0.4,0.2
19320911,4.8,7.7,2.7
19320914,3.6,8.7,4.2
19320918,0.2,0.5,0.5
19320919,1.3,1.3,0.5
19320922,3.1,8.1,3.4
19320923,5.3,13.3,3.7
19320924,1.2,4.1,3.3
19320926,2.0,2.7,1.2
19320930,1.6,1.3,0.5
19321001,7.0,10.7,3.7
19321002,1.9,4.7,1.9
19321003,2.6,2.9,0.7
19321004,0.4,0.9,0.5
19321005,0.4,0.4,0.3
19321006,0.5,0.2,0.1
19321008,5.0,2.6,0.8
19321009,8.3,9.1,3.4
19321010,3.1,1.4,0.7
19321011,2.5,3.0,1.4
19321013,3.2,8.1,3.2
19321014,9.9,24.7,5.4
19321015,6.4,14.9,4.1
19321016,2.1,1.2,0.4
19321017,0.8,1.4,0.4
19321018,3.3,5.4,1.9
19321019,0.4,1.3,1.2
19321020,6.8,6.5,1.6
19321021,11.7,14.4,3.0
19321023,8.4,23.1,5.4
19321025,1.5,1.0,0.3
19321026,8.6,15.9,5.8
19321027,2.0,3.5,2.1
19321028,4.8,4.2,1.6
19321029,0.3,0.4,0.3
19321030,11.8,23.1,2.9
19321031,5.1,8.2,2.4
19321101,2.7,1.5,0.6
19321102,2.3,1.1,0.4
19321103,0.1,0.1,0.1
19321107,0.3,0.1,0.1
19321108,12.2,13.5,2.0
19321109,2.4,1.2,0.4
19321119,2.8,1.5,0.5
19321120,3.0,2.5,1.2
19321121,0.8,0.5,0.4
19321122,6.2,4.2,1.4
19321123,2.3,4.2,1.7
19321124,1.4,3.6,1.9
19321125,3.3,1.1,0.3
19321126,1.1,0.8,0.3
19321127,2.2,2.3,1.6
19321128,3.1,1.0,0.3
19321202,1.3,0.4,0.2
19321203,5.6,9.0,2.4
19321204,0.4,0.5,0.3
19321205,0.7,0.4,0.2
19321206,0.7,0.4,0.2
19321214,0.2,0.5,0.5
19321215,0.4,0.3,0.3
19321223,1.3,0.2,0.1
